product_name,price,item_type,description,misc_notes,in_stock,supplier
AST Rollcages V2 Bolt-In Rear Cage for Toyota GT86,869.99,,"This roll cage is not compatible with a sunroof.Headliner must be removed during installation.Rear points location : suspension.AST Roll Cages SpecificationsAST roll cages have 4 to 10 anchor points, to be bolted or welded to the chassis, depending on the variants and vehicles. They are made up of E355 steel main tubes with a diameter of 45 mm, and secondary tubes with a diameter of 40 mm. The reinforcement plates for the fixing points of the structure are made of 3 mm thick steel and specially adapted to the vehicle for maximum safety and hassle-free installation. Each cage is delivered unpainted. AST guarantees perfect adaptation and simple assembly in the vehicle thanks to their 3D laser scanner technology which allows ultra-precise dimensional measurements.AST roll cages are generally available in several versions, featuring evolutions according to your needs : X or V design, cross or diagonal protections for doors and roof, ""Nascar"" style side reinforcements, additional bars, compatibility with a sunroof, location of rear anchoring points, number of doors, and so on. Modification or removal of interior components such as dashboard, door panels, trim, rear seats, are generally required. Each AST roll cage is supplied with all the necessary harware and accessories : reinforcement plates, bolts, documentation, installation instructions and stickers.",AST V2 Roll CageRoll cage delivered ready to installFor Toyota GT86Roll cage type : rearCage version : V2Material : E355 steelInstallation type : bolt-inMade in Spain by AST Rollcages,Not In Stock,DriftShop
Exedy Clutch Kit - Part No. TK07T833 ,565.99,,"Exedy Reinforced Stage 2 Sports Clutch SpecificationsExedy ""Stage 2"" clutch kits are the best choice for vehicles with a moderate power increase, being used for a mix of road and circuit/drift. They support an extra torque/power increase of around 25% compared to OE, thanks to an improved friction material/design and uprated pressure plate.In terms of operation and feel, they are slightly stiffer and have a firmer ""bite"" than an original clutch, but still comfortable to use. With a lightweight, single disc cerametalic design, this clutch has low inertia, giving improved throttle response and faster gear changes.Exedy clutches are made in Japan. They benefit from Japanese build quality and guarantee extreme robustness and outstanding performance and reliability.","Stage 2 Sports Uprated Clutch For Toyota GT86Years : 03/2012-&gt;Engine code(s) : 4U-GSE, FA20Torque capacity : 290 Nm Supplied with bearing Cerametallic 3-paddle disc, sprung Made in Japan by Exedy",Preorder Only,DriftShop
Exedy Flywheel - Part No. TF02 (6.00 kg) ,553.99,,"Exedy Reinforced Stage 2 Sports Clutch SpecificationsExedy ""Stage 2"" clutch kits are the best choice for vehicles with a moderate power increase, being used for a mix of road and circuit/drift. They support an extra torque/power increase of around 25% compared to OE, thanks to an improved friction material/design and uprated pressure plate.In terms of operation and feel, they are slightly stiffer and have a firmer ""bite"" than an original clutch, but still comfortable to use. With a lightweight, single disc cerametalic design, this clutch has low inertia, giving improved throttle response and faster gear changes.Exedy clutches are made in Japan. They benefit from Japanese build quality and guarantee extreme robustness and outstanding performance and reliability.","Stage 2 Sports Uprated Clutch For Toyota GT86Years : 03/2012-&gt;Engine code(s) : 4U-GSE, FA20Torque capacity : 290 Nm Supplied with bearing Cerametallic 3-paddle disc, sprung Made in Japan by Exedy",Preorder Only,DriftShop
Denso Iridium VXEBH27 Spark Plug (Toyota GT86 & Subaru BRZ),19.99,,"Denso Iridium VXEBH27 Spark Plug SpecificationsWhatever your use or engine set-up, the correct choice of spark plug is very important. Iridium is very heavy and dense metal, ensuring that Denso spark plugs have a longer lifespan than OEM ones, withstanding more than 100.000 km in standard use. Recommended for all Toyota GT86 and Subaru BRZ models, for use both on the road and on track.Application ListToyota GT86 (4U-GSE)Subaru BRZ (FA20)","Maximum Performance & ReliabilityDenso VXEBH27 iridium spark plugsTriple electrodeCompatible with : Toyota GT86 & Subaru BRZStandard gradeIdeal for standard and sporty useThread length : 26.5 mmTotal length : 72 mm (exc. electrode)Thread type : M12x1.25Socket size : 14Sold individually, adjust to desired amount in the cart",Not In Stock,DriftShop
JN2 Black Steel Wheel Nuts M12x1.25 (Pack of 20),35.99,,"JN2 Black Steel Wheel Nut SpecificationThese Japan Racing wheel nuts are made from high quality forged steel. Unlike cheap Chinese copies and aluminium imitations flooding the market, these nuts are strong, durable and suitable performance use.Sold per pack of 20, with a M12x1.25 thread. A socket for removal/installation is included with each pack.The JN2 range is compatible with all tapered alloy wheels, particularly Japan Racing.To ensure good performance and a long life from these nuts, we recommend you never use an impact gun to tighten your nuts.","JN2 Style

Diameter : M12
Thread : 1.25 (Nissan, Subaru, etc.)
Height : 35 mm
Diameter : 20 mm, suitable for narrow wheels
Colour : Black
Made from forged steel
Specific socket supplied
60° taper
Sold per pack of 20 + socket",Not In Stock,DriftShop
Japan Racing JR-11 Wheel,219.99,,"Wheel Diameter : 18 inches Width : 7.5 inches Colour : Hyper Gray PC D : 5x100/120 (double-drilled)Offset (E T) : 35 mm Center bore : 74,1 mm",,In Stock,DriftShop
"Japan Racing JR-11 18x7.5"" 5x100/120 ET35, Hyper Gray",219.99,,"Stock and delivery informationOur inventory is updated in real time, the available stock level of this wheel is displayed above, next to the “add to cart” button. If the wheel is out of stock, please contact us regarding a lead time.Spigot rings and centre caps are supplied with the wheels - please tell us which car you have in the required field above, to ensure we supply the correct components.Wheel nuts and bolts are optional, we have several models and colours available in the shop. Please note : if you plan to use the higher PCD (in case of a wheel with double PCD), you will need thin bolts or nuts.Need advice?At DriftShop, we specialise in alloy wheels and wheel fitment, with ultra-fast and free delivery to Europe. Got questions about ET, sizes, offset, spacers or wheel nuts? Don’t hesitate to contact us, we’ll advise you of the best options available for you and your car, taking into account body kits, modified suspension, tyre sizing etc...","Japan Racing JR-11 WheelDiameter : 18 inchesWidth : 7.5 inchesColour : Hyper GrayPCD : 5x100/120 (double-drilled)Offset (ET) : 35 mmCenter bore : 74,1 mmSold individually, select required amount in the cartFree shipping across Europe!""",Not In Stock,DriftShop
Sytec Motorsport 255 L/h Fuel Pump Kit - Toyota GT86 & Subaru BRZ,104.99,,"Sytec 255 LPH Fuel Pump Kit – Toyota GT86 & Subaru BRZ
When tuning an engine, the original fuel pump is often unsuitable and no longer able to provide enough fuel. The consequences can be disastrous, with the worst case being engine failure from running lean.
Sytec fuel pump kits are the first step towards increasing fuel system function and reliability. Note that by itself, a high flow fuel pump does not increase the power of your vehicle. They are used to replace a tired OE pump or when there’s a need for increased fuel flow, such as applications with increased boost pressure, larger injectors, or other changes. These pumps are capable of providing enough fuel for over 400HP.
Technical specifications

“Plug-and-play” kit for GT86/BRZ
Inlet diameter 8mm, outlet diameter 11mm.
Voltage: 12V
Maximum pressure: 6.6 BAR
Maximum flow: 255 LPH
Flow at 3 BAR: 240 litres/hour @ 5 BAR: 195
Length 120mm, Diameter 35mm, weight 366g

 DriftShop is supplied directly from the manufacturer without any intermediary. Our Sytec pumps are 100% authentic and guaranteed for 1 year.","Sytec GT86/BRZ Fuel Pump Kits

Sytec 255 LPH pump
Direct OE replacement.
Car specific kits, giving ""plug & play"" fitment.
1 year warranty",Not In Stock,DriftShop
HKB Boss Kit for Toyota GT86 & Subaru BRZ,127.99,,"HKB Boss Kit SpecificationManufactured in Japan, HKB boss kits are compatible with 99% of steering wheels, thanks to their double drilled PCD (12 holes). (Such as DriftShop, Sparco, Nardi, Personal, Momo, OMP...) They guarantee a perfect fit, high quality and an unparalleled finish.Where applicable, they will deactivate airbag warnings and prevent a warning light on the dashboard.","JDM quality!

Compatible with all steering wheels : DriftShop, Sparco, Nardi, Momo, etc.
Direct fit to your vehicle
High quality, high strength
Made in Japan
Deactivates airbag light (*where stated/applicable)
HKB Boss Kit for Toyota GT86 & Subaru BRZ 
For column diameter 16mm and 33 splines
HKB reference : OT-273",Not In Stock,DriftShop
Tein EDFC Active Pro Kit ,695.99,,"Tein EDFC Active Pro Specifications
With the Tein EDFC Active (Electronic Damping Force Controller) system, you no longer have to get out of your vehicle, open the hood or remove the rear linings to adjust the hardness of your suspension! You can now adjust it from inside the car, via a control unit operating the motors placed on the adjustment knobs of your Tein shock absorbers.
In addition, the system allows you to take advantage of an adjustment range extended to 64 settings (instead of 32 with the EDFC 2 and 16 without) for superior control. You can also keep 3 hardness settings memorized that you then activate with a finger depending on the situation: city, highway, winding roads ...
Unlike the EDFC Active which allows you to adjust the damping hardness independently between the front and the rear but simultaneously between the left and the right, the EDFC Active Pro allows the individual adjustment of the 4 dampers. In addition, while the EDFC Active offers an automatic firmness control according to the variations of g force at acceleration and deceleration (longitudinal force), this evolution adds an automatic adjustment capacity according to the changes of g forces in turns (lateral force). This gives you the ability to limit chassis roll, control the load distribution left / right when cornering and increase your speed when cornering. The EDFC Active Pro also includes an automatic speed-dependent adjustment (note that signal acquisition may not be possible on certain vehicles). The longitudinal g force, lateral g force and speed modes can be combined for an unprecedented precise adjustment.
The system has two additional external input ports to suit all needs. For example, it is possible to connect it to the handbrake signal for better management of drifts, to a universal switch that the driver can operate depending on the situation, etc.
For simplified installation and wiring, the EDFC Active Pro has wireless control. The control unit is connected wirelessly to the motor control unit, avoiding the installation of complicated and unsightly wiring.
The Tein EDFC Active Pro system control unit has an extended display with a 22 x 60 mm screen for better visibility and incorporates a tri-axial acceleration sensor for perfect functioning regardless of its layout in the vehicle.
The product offers many other functions: choice of the frequency for resetting the motors to zero, choice of the minimum speed before activation of the adjustment according to g force, automatic adjustment of the intensity of the display, adjustable display angle on two positions, volume adjustment, self-diagnosis and alert, screen color adjustment, display of the damping hardness level, g force and speed, or even locking controls.
With additional equipment, it is possible to manage Tein coilovers with separate adjustment of compression and rebound (Super Racing for example). The EDFC Active control unit is capable of controlling up to 8 motors independently using additional control units.  Contact us for more information on the necessary parts.
The Tein EDFC Active system is compatible with the Tein EnduraPro Plus, EnduraPro Plus SP Kit, Street Flex, Street Advance Z, Street Advance Z4, Mono Racing, Mono Sport, Flex A, Flex Z suspensions. To ensure compatibility '' EDFC with your vehicle and your coilovers, don't hesitate to use the Tein Europe official search engine. The latter also allows you to confirm the type of motors required depending on the model.
Optional equipment :

Strut Kit : recommended for vehicles with front struts, the Strut Kit avoids the risk of the EDFC wiring getting tangled by adding a stopper bracket
GPS Kit : available for EDFC Active and Active Pro, the GPS Kit adds additional functionalities to the system. Among these, the possibility of automatically modulating the hardness of the damping according to the speed of the vehicle, or of simultaneously using the adjustment modes relating to the speed and to the g force. This GPS Kit also provides other information: vehicle speed, altitude, longitude, latitude, distance traveled and synchronized time.","Tein EDFC Active Pro Suspension Management Unit

The ultimate version of the famous Tein EDFC Active!
Damping hardness control with 64 levels from inside the car
Automatic adjustment in correspondance to g force and speed
Independent adjustment of the 4 dampers
Up to 10 saved presets
2 additional input ports
Additional features
Capacity for upgrades",In Stock,DriftShop
