product_name,price,item_type,description,misc_notes,in_stock,supplier
"Tomei Expreme UnEqual Length Exhaust Manifold GT86, GR86 & BRZ",766,,"Tomei Expreme UnEqual Length Exhaust Manifold for Toyota GT86, GR86 & Subaru BRZUn Equal length 4-1 design for mid range power and to remove the ""torque dip"" and for the famous ""boxer rumble""Optimised pipe lengths and anglesImproved flow and efficiency through cat less designDesigned for minimum heat transfer to oil panO2 Sensor portWeight 6. 85kg (Standard manifold is 9. 2kg)Fensport Tip: Ecu will require tuning, we recommend our GT86 & BRZ NA Remap for maximum power gains. Note: GR86 compatibility confirmed but no ecu tuning option yet. ","No Cat

- ECU tuning will be required",In Stock,FenSport
SuperPro - Anti Roll Bar - Rear 20mm Solid - Adjustable - GT86 & BRZ,211.87,,"SuperPro's anti roll bars (sway bars) offer sharper steering, less body roll and improved grip.  GT86 & BRZ Rear - Anti Roll Bar 20mm - Solid - Race Use3 Position Adjustable Roll bar bushes includedNote: Competition use only",No notes available,In Stock,FenSport
Air Intake System - Mishimoto - Polished - GT86 & BRZ,280.27,,"GT86 & BRZ Mishimoto - Cold Air Intake SystemPolishedAdd easy horsepower to your GT86 or BRZ with the Mishimoto Performance Cold-Air Intake!Mishimoto engineers spent months designing, testing, and perfecting this product to develop a 10 whp / 8 wtq bolt-on power increase. In addition to the impressive power increase, our engineering team ensured that safe A/F ratios are maintained throughout the entire powerband. The core of this intake is our mandrel-bent aluminum intake pipe that provides a smooth path for airflow.  Additionally, the CNC-machined mass airflow (MAF) housing and air straightener ensure laminar airflow across the sensor to provide accurate readings. This intake is designed as a true cold-air system, with filter placement outside the hot engine bay to reduce the chance of heat soak. The kit also includes a fully serviceable Mishimoto oiled air filter, which provides a 16% increase in filter surface area, allowing for greater airflow and superior filtration. The Mishimoto BRZ/FR-S Performance Cold-Air Intake includes a powder-coated air diverter that mounts behind the front bumper and ensures that the radiator, AC condenser, and air intake are supplied with copious amounts of cool air. This intake provides power you can hear! It is a huge upgrade for intake noise and provides a nice throaty intake tone, especially under full throttle. For personalized styling, we offer this kit in a polished finish and powder-coated wrinkle black. Includes the Mishimoto Lifetime Warranty, ensuring superior product quality and craftsmanship. ",No notes available,Not In Stock,FenSport
Wastegate Actuator - Various Rates - Avo Turbo Kits - GT86 & BRZ,88,,Wastegate Actuator for Avo Turbo Kits - GT86 & BRZVarious Spring Rates ,No notes available,In Stock,FenSport
Wheel Spacer - Eibach Pro - 15mm - 5x100 - GT86 & BRZ,121.21,,"Eibach Pro Spacer - 5 x 100 pcd - GT86 & BRZ15mmPrice is for 1 pair To give your car the final visual and performance touch, our engineers have created a complete line of Eibach Pro-Spacers.  These are designed to give your vehicle a wider, more stable stance, quickly and easily.  They are also a perfect match for the famous Eibach Pro-Kit or Sportline Lowering Spring Sets.  With the right Eibach Pro-Spacers installed, your car takes on a more aggressive look, with the wheels and tires filling the wheel wells exactly the way they should. Eibach Pro-Spacers are also and excellent way of gaining more clearance when fitting big brake kits. Features: Manufactured from High-Strength Aircraft Aluminum Alloy Precision Engineered Hub-Centric and Model Specific for Perfect Fit and Wheel Balance Strength-Tested for All Applications Extreme corrosion Protection Through DIN 50021 Approved Coating Process TUV, QS9000 and ISO9001 Quality Approved Reduced Weight Compared to Steel Wheel Spacers Million-Mile WarrantyFine-tuning your track width doesn't just enhance your car's looks it also gives you improved handling performance and optimized roll characteristics.  Pro-Spacers are available in a wide range of sizes, from 5mm all the way to 45mm, depending on the application, letting you position your tires exactly where they will look and perform their best.  All Pro-Spacer kits come complete with all the necessary mounting hardware. You'll achieve optimum looks and enhanced handling by moving your wheels flush with the outer edges of the wheel wells.  Simply measure the wheel-well/tire gap, and order the corresponding Pro-Spacers to put your wheels and tires out where they belong. ",No notes available,In Stock,FenSport
Millers Gear Oil - CRX 75w90 NT+ - 5 Litre,74.99,,"CRX 75w90 NT+ Fully Synthetic Gear Oil With Nano Technology5 Litre Description:Competition fully synthetic transmission oil.  A blend of fully synthetic base oils incorporating new Nano Technology additive chemistry to significantly reduce internal friction and power losses. Application:Designed for the lubrication of competition gearboxes.  Manual transmissions, synchromesh, non-synchromesh, sequential gearboxes, transfer gearboxes and hypoid differentials without limited slip which require API GL4 or GL5 performance.  Recommended for modern transmissions where fully synthetic oil is specified, especially for high performance road and track day applications.  Hewland, Xtrac, Glebe Transmissions, ZF, Tran X, PPG Transmissions.  User Benefits:Exceptional cold flow properties for easier gear changes. Fast lubrication flow to component extremes on start upVery good oxidation resistance and superior thermal stability.  Low friction/ low drag formulation to help reduce operating temperatures. High film strength for maximum component protection.  Significantly reduces friction, temperature, wear and minimises power loss. Note: Does not contain friction modifiers.  For plate type Limited Slip differentials use CRX LS 75w90 NT",No notes available,Not In Stock,FenSport
Ecutek EVi - Bluetooth Vehicle Interface Kit - With Programming,250,,"The EcuTek Ecu Connect is a bluetooth vehicle interface Kit & App for iPhone & iPad with Ios & Android (5. 0 or higher)Note: This option allows programming of the ECU. Used in conjunction with the ECU Connect app and an Android or Ios device, the Ecutek EVI-BT allows communication between the engine ecu and your phone or tablet, and maps can be adjusted directly from the device in real time.  The following features are availableLive Data Display all factory and Race Rom parametersGauge DisplayThe App can be used as an ancillary dashboard to display a variety of configurable gauges including circular, bar & text.   These gauges can display all the ecu's parameters and can also work in conjunction with custom maps.  There is a configurable high or low threshold alarms which can be colour coded eg Red = High, Blue = Low.  These visible warnings can flash the gauges or the complete screen are also available. All gauge and text colours are configurable as well as custom backgrounds as seen in the pics above. Data LoggingThe Data Log tool allows you to easily record log files.  Simply press start and stop and then the log files can be accessed from the Archive in the main menu.  Log files can also be emailed to your tuner direct from within the app. Map Switching4 way map switching is available direct from the app and maps can be named. Boost ControllerThe App will allow boost to be controlled via either set parameters or on a ""slider"" from preset minimum and maximums. DTC ToolCheck and clear DTC'sPerformance AnalyserA ""snapshot"" of the vehicle's performance can be recorded such as 0-60mph, quarter mile, Vmax and more.  The info is saved as ""Performance Results"" and can be shared online instantly and can be saved for comparison. Race Rom Custom ParametersVarious driver options can be configured and we have 5 inputs available from the App to use as inputs to ""Custom Maps"" which allows us to create many driver selectable custom options. eg:Valet ModeBoost ControlVariable RPM LimitSoft/Hard cut rev limitEco / power throttleLaunch controlPit Lane or variable speed limiterLive AdjustmentsUsing the app as an input to Custom Maps we can configure the ecu to perform live adjustments to many key tuning tables . . .  eg:Ignition, Fuel, Cam maps etc. Note: IOS 10. 2 or higher, Android 5. 0 Lollipop or higherECU Connect Evi Bluetooth Demo ECU Connect Dashboard and Gauges Demo",This option allows programming of the ECU.,In Stock,FenSport
"TRD Clutch Disc - Metal Facing Cerrametalic - GR86, GT86 & BRZ",268.25,,"GT86 TRD Metal Facing Clutch Disc for GR86, GT86 & BRZTRD metal clutch discs were specially developed to handle the harsh use demanded particularly by hard motor sports racing.  The plate is made from reinforced bolts and springs, and facing from special alloy pad enabling the metal clutch to give the direct clutch feeling with durability. ","For use with TRD clutch cover.

- Recommended for hard race, track, drift use",In Stock,FenSport
Summit Front Lower 2 Point Steering Rack to Subframe Brace  - GT86 & BRZ,135,,GT86 / BRZ Summit Front Lower Steering Rack / Subframe Brace2 PointSummit chassis braces & reinforcing equipment improves handling and chassis rigidity by reducing chassis flex. Unlike some competitors Summit braces are not hollow and use monocoque aluminium triple tube shaft and forged parts which are not only lightweight but are also exceptionally strong. ,No notes available,Not In Stock,FenSport
TRD Sticker - Large - Silver 50 x 650mm,12.4,,TRD Sticker Large - Silver50 x 650mm,No Notes available,In Stock,FenSport
