product_name,price,item_type,description,misc_notes,in_stock,supplier
ASNU Top Feed FA20,140,,Price is per injector Please order the correct quantity you need,Material: Acetal OR Stainless Steel --- Size In CC: 300-1000,Preorder Only,GroupD
JE-Pistons Kit Sub BRZ FA20/Toy GT-86 4U-GSE (12.5:1) 87mm,790,,With the current worldwide materials shortage delivery time may vary. Please email us for availability before ordering,No notes available,Preorder Only,GroupD
JE-Pistons Kit Sub BRZ FA20/Toy GT-86 4U-GSE (10.5:1) 86.25m,790,,With the current worldwide materials shortage delivery time may vary. Please email us for availability before ordering,No notes available,Preorder Only,GroupD
JE-Pistons Kit 4U-GSE/FA20 pin:22 10.5:1 86.00mm Ultra,970,,With the current worldwide materials shortage delivery time may vary. Please email us for availability before ordering,No notes available,Preorder Only,GroupD
JE-Pistons Kit Sub BRZ FA20/Toy GT-86 4U-GSE (13.5:1) 86.25m,790,,With the current worldwide materials shortage delivery time may vary. Please email us for availability before ordering,No notes available,Preorder Only,GroupD
Toyota GT86 Zn6 (12+) RM Series,970,,"RM Series Coilover The BC Racing RM series feature high quality damping adjustable monotube inverted dampers at the front or front and rear, depending on vehicle. The RM coilovers offer the majority of the features of the BR series but with the additional benefit of the inverted damper unit. Inverting the damper unit b",Spring Rates: 6/4kg.mm OR 6/6kg.mm /OR 8/8kg.mm,Preorder Only,GroupD
FULL SUSPENSION BUSH KIT GT86/BRZ,325,,KIT ID: 276194B Name: Full suspension bush kit Fit: Subaru BRZ Toyota GT86 Scion FR-S Include: 2 x 271695B Front anti roll bar bush Diameters: 18mm 2 x 271696B Front lower arm front bush 2 x 271697B Front lower arm rear bush 2 x 271698B Rear trailing arm front bush 2 x 271611B Rear trailing arm rear bush 2 x 271612B Re,No notes available,Preorder Only,GroupD
KAAZ 2 Way Super Q LSD GT86/BRZ,862,,"KAAZ LSD's offer excellent quality, performance, and value for money. Available in 1.5 and 2 way configurations  This LSD is the Super-Q version, which means the plates have received a WPC treatment to ensure they are super smooth. No banging or clunking with this option!  SAT2080 SQ",Super Q: Yes OR No,Preorder Only,GroupD
Toyota GT86 Zn6 (12+) BR Series,878,,"We provide BC Racing Coilovers for a huge range of models, if you do not see your model listed on our website please contact us to check availability. Various spring rates available, if you do not see what you want listed please contact us for further options. Also available in front or rear pairs, please mail us with",Spring Rates: 6/4kg.mm OR 5/5kg.mm /OR 8/8kg.mm OR 8/8kg.mm Extra Low OR 18/20kg.mm OR 10/8kg.mm OR 20/20kg.mm OR 8/6kg.mm OR 20/20kg.mm Extra Low OR 16/16kg.mm Extra Low OR 5/6kg.mm OR 10/9kg.mm,Preorder Only,GroupD
JE-Pistons Kit Sub BRZ FA20/Toy GT-86 4U-GSE (9.5:1) 86.25mm,790,,With the current worldwide materials shortage delivery time may vary. Please email us for availability before ordering,No notes available,Preorder Only,GroupD
