product_name,price,item_type,description,misc_notes,in_stock,supplier
Enkei GTC02 Alloy Wheel,"£409.27, £409.27",,"SKU:     
        E-GTC02    


                GTC021995455120HS            

                GTC021995275112HS            

                GTC02199455120HS            

                GTC021994551143HS            

                GTC02199305120HS            

                GTC021985425120HS            

                GTC021985355120HS            

                GTC0219853551143HS            

                GTC021985275120HS            

                GTC0219852751143HS            

                GTC021984551143HS            

                GTC02198455100HS            

                GTC0219754551143HS            

                GTC021975455100HS            

                GTC0219105345112HS            

                GTC02191051551143HS            

                GTC021910405120HS            

                GTC0219102051143HS            

                GTC021895455120HS            

                GTC0218954051143HS            

                GTC021895155120HS            

                GTC0218951551143HS            

                GTC021895051143HS            

                GTC021894251143HS            

                GTC02189425100HS            

                GTC021893051143HS            

                GTC02189255112HS            

                GTC0218854351143HS            

                GTC021885355120HS            

                GTC0218853551143HS            

                GTC021885355100HS            

                GTC021884551143HS            

                GTC02188455100HS            

                GTC021883551143HS            

                GTC0218754851143HS            

                GTC021875485100HS            

                GTC02181054551143HS            

                GTC02181053551143HS            

                GTC02181052251143HS            

                GTC02181051551143HS            

                GTC0218104551143HS            

                GTC021810325112HS            

                GTC0218102551143HS            

                GTC02179435100HS            

                GTC021785434100HS            

                GTC021785405100HS            

                GTC02178425100HS            

                GTC02178424100HS            

                GTC021775385100HS            

                GTC021775384100HS            

                GTC021775355100HS            

                GTC021775354100HS            

                GTC0219954551143HS            

                GTC021895455120MB            

                GTC0219954551143MB            

                GTC021995455120MB            

                GTC02199455120MB            

                GTC021994551143MB            

                GTC02199305120MB            

                GTC021985425120MB            

                GTC021985355120MB            

                GTC0219853551143MB            

                GTC021985275120MB            

                GTC0219852751143MB            

                GTC021984551143MB            

                GTC02198455100MB            

                GTC0219754551143MB            

                GTC021975455100MB            

                GTC02191051551143MB            

                GTC021910405120MB            

                GTC0219102051143MB            

                GTC0218954051143MB            

                GTC021895155120MB            

                GTC0218951551143MB            

                GTC021895051143MB            

                GTC021894251143MB            

                GTC02189425100MB            

                GTC021893051143MB            

                GTC02189255112MB            

                GTC0218854351143MB            

                GTC021885355120MB            

                GTC0218853551143MB            

                GTC021885355100MB            

                GTC021884551143MB            

                GTC02188455100MB            

                GTC021883551143MB            

                GTC0218754851143MB            

                GTC021875485100MB            

                GTC02181054551143MB            

                GTC02181053551143MB            

                GTC02181052251143MB            

                GTC02181051551143MB            

                GTC0218104551143MB            

                GTC021810325112MB            

                GTC0218102551143MB            

                GTC02179435100MB            

                GTC021785434100MB            

                GTC021785405100MB            

                GTC02178425100MB            

                GTC02178424100MB            

                GTC021775385100MB            

                GTC021775384100MB            

                GTC021775355100MB            

                GTC021775354100MB",,In Stock,TorqueGT
Rays Gram Light 57DR Alloy Wheel  - 18x10.5J ET12 5x114 Semi Gloss Black,£403.20,,,,Not In Stock,TorqueGT
Link 2.5 Bar MAP Sensor (MAP2.5),£120.00,,"SKU:     
        LINK-MAP2.5",,Not In Stock,TorqueGT
Soft99 Tyre Wax 170g,"£11.54, £16.49",,"SKU:     
        S99-02015","Directions:


1. Wash off dirt or derbis in advance and try the tyre wall thoroughly
2. Remove cap and apply wax to the sponge
3. Apply and allow to dry for approximately 5-10 minutes.",In Stock,TorqueGT
Link Wideband CAN Lambda,£372.00,,"SKU:     
        LINK-125-1000    





Link's CAN Lambda is an easy to use CAN module that provides wideband sensor control via CAN bus and compatible with leading aftermarket ECU's.
If using the CAN lambda with a G4+ Plugin ECU, you'll also need a CANPCB cable to acces the CAN port on the PCB and a CANF field insertable CAN plug.
The CAN-Lambdas ability to measure the proportion of oxygen in exhaust gases makes it an essential tool for accurately tuning fuel mixtures as well allowing your ECU to make tuning adjustments
Being fully digital the CAN Lambdas powerful LSU 4.9 sensor will eliminate any loss of signal, risk, delays and errors that analogue alternatives cause. The CAN-Lambda never requires free air calibration.","Box Contents:

CAN Lambda device
Bosch LSU4.9 sensor
Deutsch 4-way connector kit
O2 bung and plug
Quick start guide",In Stock,TorqueGT
Turbosmart Blow Off Valve Inlet Fitting 34mm,£19.14,,"SKU:     
        TS-0203-3007    





Founded in 1997, Australian manufacturer Turbosmart has quickly established itself as a brand that designs and manufactures high quality products which are reasonably priced. Combining innovative design, strict quality control and rigorous testing, Turbosmart are a brand that any forced induction car owner should consider.




Turbosmarts Kompact Blow Off Valve Inlet Fitting (34mm) is designed to fit Turbosmart Kompact Dual Port and Plumb Back BOVs. Turbosmarts inlet fitting offers a high-performance leak-free seal to ensure maximum performance of your BOV.
With Turbosmarts Kompact Blow Off Valve Inlet Fitting (34mm), you can rest assured that your BOV will reach its peak performance while being securely held in place. Enjoy the peace of mind of knowing that Turbosmart has created the perfect solution for fitting your Kompact BOV with one easy-to-install piece.
Upgrade now to Turbosmarts Kompact Blow Off Valve Inlet Fitting (34mm) for the ultimate in performance and reliability.",,Not In Stock,TorqueGT
Enkei Centre Cap - RPF1,£25.00,,"SKU:     
        CAA49B",,In Stock,TorqueGT
Exoracing 5mx5cm Titanium Exhaust Heat Wrap Tape Manifold Insulation,£21.99,,"SKU:     
        EX-EXH-TIT-5M    





Exhaust heat wrap is one of the easiest and cheapest methods of heat management in your engine bay. There are a few advantages for using exhaust wrap, but the main ones are to decrease engine bay temperatures and to speed up the exhaust gas flow. Exhaust heat wrap is very simple and easy to install, but will have a dramatic effect to your temperatures, and is one of the first go to heat management methods of many racing teams worldwide. The exhaust wrap is simply wrapped around your exhaust manifold and fixed into place using our supplied cable ties to make sure you have a strong tight seal.
The exhaust system of a car carries out the hot exhaust gas from the engine which can reach temperatures of up to 1200 degrees in some extreme applications. The effects of a hot manifold and exhaust system can negatively impact the overall performance of an engine due to intake air temperature. An engine is designed to run at an optimal temperature which will make peak power, usually the cooler the intake temperatures the better an engine will perform and the more power it will make. In some applications the cooling system on a car is not enough to keep the engine at optimal temperatures, resulting in heat soak to engine components which will dramatically reduce the efficiency and power. As well as the efficiency and power being affected by temperature, having too much heat in an engine bay can cause unnecessary wear and strain on delicate components that are not designed to operate in extreme engine bay temperatures. Items such as bearings, fluid lines and wiring can become damaged with overexposure to heat.
Another added benefit of our exhaust heat wrap is that you will reduce any radiating heat from the exhaust through the firewall or chassis resulting in less heat coming into the car. You can reduce temperatures anywhere up to a massive 50% which has a massive number of benefits and virtually no downside.","Product Features:

Reduces under bonnet temperatures.
Improves power &amp; protects other components
Superior durability and heat retention
Size: 5cm x 5m
Material: titanium fibre
Temperature continuous 1800°C
Temperature intermittent 3100°C
Includes: 4 x stainless cable ties
It is always recommended to soak the exhaust wrap in water when installing, and to have a consistent overlap on the piping to reduce heat spots.",In Stock,TorqueGT
Turbosmart Mounting Bracket For BoostTee And InCabin,£11.94,,"SKU:     
        TS-0101-3001    





Founded in 1997, Australian manufacturer Turbosmart has quickly established itself as a brand that designs and manufactures high quality products which are reasonably priced. Combining innovative design, strict quality control and rigorous testing, Turbosmart are a brand that any forced induction car owner should consider.
Turbosmarts mounting bracket for Boost Tee and In Cabin Manual Boost Controllers allows you to install your Turbosmart boost controller in a convenient position easily. With no extra hardware, this mounting bracket keeps your Turbosmart boost controller secure and accessible.
Simply attach the mounting bracket using the two included screws and place your Turbosmart boost controller inside the holder. This ensures that all your Turbosmart components are installed correctly and securely while allowing easy access when needed. It also helps to keep wires organized in a neat fashion, further enhancing its convenience.
Whether youre installing Turbosmart products in an engine bay or cabin, the Turbosmart mounting bracket is the perfect solution for keeping everything in one spot! Get yours today and make the installation of Turbosmart boost controllers a breeze.","Product Features:

Includes 2 x screws to fit
Essential accessory for the Turbosmart Boost Controller",Not In Stock,TorqueGT
Exoracing 10mx5cm Titanium Exhaust Heat Wrap Tape Manifold Insulation,£27.49,,"SKU:     
        EX-EXH-TIT    





Exhaust heat wrap is one of the easiest and cheapest methods of heat management in your engine bay. There are a few advantages for using exhaust wrap, but the main ones are to decrease engine bay temperatures and to speed up the exhaust gas flow. Exhaust heat wrap is very simple and easy to install, but will have a dramatic effect to your temperatures, and is one of the first go to heat management methods of many racing teams worldwide. The exhaust wrap is simply wrapped around your exhaust manifold and fixed into place using our supplied cable ties to make sure you have a strong tight seal.
The exhaust system of a car carries out the hot exhaust gas from the engine which can reach temperatures of up to 1200 degrees in some extreme applications. The effects of a hot manifold and exhaust system can negatively impact the overall performance of an engine due to intake air temperature. An engine is designed to run at an optimal temperature which will make peak power, usually the cooler the intake temperatures the better an engine will perform and the more power it will make. In some applications the cooling system on a car is not enough to keep the engine at optimal temperatures, resulting in heat soak to engine components which will dramatically reduce the efficiency and power. As well as the efficiency and power being affected by temperature, having too much heat in an engine bay can cause unnecessary wear and strain on delicate components that are not designed to operate in extreme engine bay temperatures. Items such as bearings, fluid lines and wiring can become damaged with overexposure to heat.
Another added benefit of our exhaust heat wrap is that you will reduce any radiating heat from the exhaust through the firewall or chassis resulting in less heat coming into the car. You can reduce temperatures anywhere up to a massive 50% which has a massive number of benefits and virtually no downside.","Product Features:

Reduces under bonnet temperatures.
Improves power &amp; protects other components
Superior durability and heat retention
Size: 5cm x 10m
Material: titanium fibre
Temperature continuous 1800°C
Temperature intermittent 3100°C
Includes: 4 x stainless cable ties
It is always recommended to soak the exhaust wrap in water when installing, and to have a consistent overlap on the piping to reduce heat spots",In Stock,TorqueGT
