product_name,price,item_type,description,misc_notes,in_stock,supplier
Rear Under Bumper Cover Set Flaps Toyota GT86 V3 (Black Molet),159.95,,"Rear Under Bumper Cover Set Flaps Toyota GT86 V3 (Black Molet)  


Rear Under Bumper Cover Flaps for mounting at the serial under bumper, made in ABS.

Fitting on Toyota GT86.

Surface Finish: Black Molet.






 



	This part is available in different surfaces:



Black Molet
Black-Highgloss
or Carbon-Look




	Black Molet surface is optimized for painting in your vehicles color.

	All other surfaces are ready for mounting and can be installed without any preliminary works.",No notes available,In Stock,TRCTuning
Front Under Bumper Spoiler Toyota GT 86 (Black Highgloss),189.95,,"Front Under Bumper Spoiler Toyota GT 86 (Black Highgloss)      

Front Under Bumper Cub Spoiler for mounting under the serial front bumper spoiler made in ABS.

Incl. installation material.

Fitting on Toyota GT 86 before minor change.

Surface Finish: Black Highgloss.

With ABE.




 



	This part is available in different surfaces:



Black Molet
Black-Highgloss
or Carbon-Look




	Black Molet surface is optimized for painting in your vehicles color.

	All other surfaces are ready for mounting and can be installed without any preliminary works.",No notes available,In Stock,TRCTuning
Ultra Racing Front Upper Strutbar Toyota GT86 / Subaru BRZ,235,,"Ultra Racing Front Upper Strutbar Toyota GT86 / Subaru BRZ  

Vehicle-specific high performance racing struts from the company Ultra Racing from Japan.
Indispensable when it comes to the use of vehicles in racing.
The Ultra Racing products are characterized by very high quality and manufacturing standards.

A perfect fit for the respective vehicle.

Toyota GT86 / Subaru BRZ

 

Product details:



Approval
Nein


Artikelnummer
221198


Manufacturer
Ultra Racing


Manufacturer sku
UR-TW4-2142


Car Brand
Subaru, Toyota


Car Model
Nein


Color
Nein


Material
Nein






Why Ultra Racing use Steel instead of Aluminum?

First, steel is stronger than aluminum for the same size and thickness. In order for aluminum alloys to be at least the same strength as steel, it has to be at least double the thickness (steel 4mm = aluminum 8mm). When that happens, weight saving is not so apparent anymore. Of course there are also exotic materials and alloys that can match the strengths of steel, but the cost are astronomically high and therefore not very cost effective to bring into mass production.

 




MILL / TEST CERTIFICATE (Chemical Composition)



		Specification

	

JIS 3101 SS 400 (Japan International Standard)
JIS G 3141 SPCC SD (Japan International Standard)
ASTM A 500 Grade A (American Standard)
BS 1387 ( British Standard)



		 

	





 

 



Ultra Racing products comes without TUEV-Homologation.

The product range is limited in Germany / Europe only for motorsport intend.",No notes available,In Stock,TRCTuning
Ultra Racing Front Sway Bar 21mm Toyota GT86 / Subaru BRZ,260,,"Ultra Racing Front Sway Bar 21mm Toyota GT86 / Subaru BRZ    

Vehicle-specific high performance racing struts from the company Ultra Racing from Japan.
Indispensable when it comes to the use of vehicles in racing.
The Ultra Racing products are characterized by very high quality and manufacturing standards.

A perfect fit for the respective vehicle.

Toyota GT86 / Subaru BRZ

 

Product details:



Approval
Nein


Artikelnummer
229581


Manufacturer
Ultra Racing


Manufacturer sku
AR21-466


Car Brand
Subaru, Toyota


Car Model
BRZ, GT86


Color
Nein


Material
Nein






Why Ultra Racing use Steel instead of Aluminum?

First, steel is stronger than aluminum for the same size and thickness. In order for aluminum alloys to be at least the same strength as steel, it has to be at least double the thickness (steel 4mm = aluminum 8mm). When that happens, weight saving is not so apparent anymore. Of course there are also exotic materials and alloys that can match the strengths of steel, but the cost are astronomically high and therefore not very cost effective to bring into mass production.

 




MILL / TEST CERTIFICATE (Chemical Composition)



		Specification

	

JIS 3101 SS 400 (Japan International Standard)
JIS G 3141 SPCC SD (Japan International Standard)
ASTM A 500 Grade A (American Standard)
BS 1387 ( British Standard)



		 

	





 

 



Ultra Racing products comes without TUEV-Homologation.

The product range is limited in Germany / Europe only for motorsport intend.",No notes available,In Stock,TRCTuning
Valenti Sequential LED Clear Tailights Toyota GT86 / Subaru BRZ (Black Smoked V2),599,,"Valenti Sequential LED Clear Tailights Toyota GT86 / Subaru BRZ (Black Smoked V2)

 





LED Clear Tailights for the Toyota GT 86, Subaru BRZ, Scion FR-S. Fitts on all models.

		Ready for Plug & Play installation. Replaces the complete tailight unit.

		with dynamic indicator.


		Delivery comes in pairs (2 pieces) in smoked black edition.


		 

	
The tailights are E-Approved and ready for street legal use!",No notes available,In Stock,TRCTuning
Front Under Bumper Cup Spoiler Toyota GT86 Facelift V1 (Carbon-Look),209.95,,"Front Under Bumper Cup Spoiler Toyota GT86 Facelift V1 (Carbon-Look)

Front Under Bumper Cub Spoiler for mounting under the serial front bumper spoiler made in ABS.

Incl. installation material.

Fitting on Toyota GT86 Facelift from 2017&gt;

Surface Finish: Black Carbon-Look.
Incl.§19.3 TÜV-Zertification.





 



	This part is available in different surfaces:



Black Molet
Black-Highgloss
or Carbon-Look




	Black Molet surface is optimized for painting in your vehicles color.

	All other surfaces are ready for mounting and can be installed without any preliminary works.",No notes available,In Stock,TRCTuning
CARBON Rear Trunck / Back Door Toyota GT86 / Subaru BRZ,"1,799.00",,"CARBON Rear Trunck / Back Door Toyota GT86 / Subaru BRZ

 




Super weight light rear trunck / back door for the Toyota GT 86 / Subaru BRZ in Carbon.

	This product ist designed for motorsport intend and comes without TUEV homologation.",No notes available,In Stock,TRCTuning
Ultra Racing Rear Torsion Bar Toyota GT86 / Subaru BRZ,110,,"Ultra Racing Rear Torsion Bar Toyota GT86 / Subaru BRZ    

Vehicle-specific high performance racing struts from the company Ultra Racing from Japan.
Indispensable when it comes to the use of vehicles in racing.
The Ultra Racing products are characterized by very high quality and manufacturing standards.

A perfect fit for the respective vehicle.

Toyota GT86 / Subaru BRZ

 

Product details:



Approval
Keine Angabe


Artikelnummer
221449


Manufacturer
Ultra Racing


Manufacturer sku
RT2-2148


Car Brand
Nein


Car Model
Nein


Color
Keine Angabe


Material
Keine Angabe






Why Ultra Racing use Steel instead of Aluminum?

First, steel is stronger than aluminum for the same size and thickness. In order for aluminum alloys to be at least the same strength as steel, it has to be at least double the thickness (steel 4mm = aluminum 8mm). When that happens, weight saving is not so apparent anymore. Of course there are also exotic materials and alloys that can match the strengths of steel, but the cost are astronomically high and therefore not very cost effective to bring into mass production.

 




MILL / TEST CERTIFICATE (Chemical Composition)



		Specification

	

JIS 3101 SS 400 (Japan International Standard)
JIS G 3141 SPCC SD (Japan International Standard)
ASTM A 500 Grade A (American Standard)
BS 1387 ( British Standard)



		 

	





 

 



Ultra Racing products comes without TUEV-Homologation.

The product range is limited in Germany / Europe only for motorsport intend.",No notes available,In Stock,TRCTuning
K&N Sports Replacement Air Filter Toyota GT86 2.0i 200PS 09/12-,64.63,,"K&N's replacement air filters are designed to increase horsepower and acceleration while providing excellent filtration. We make over 1,200 different replacement air filters for virtually every vehicle on the road. These filters are washable and reusable and are custom designed to fit into your existing factory air box. Their drop-in design means adding performance is simple. With most vehicles you simply remove the disposable air filter and replace it with a K&N. See applicable instruction sheet for details. Our stock replacement air filters for street vehicles are covered by our famous K&N Million-Mile Limited Warranty and will be THE LAST AIR FILTER YOUR VEHICLE WILL EVER NEED.



 




Designed to boost horsepower and rate of acceleration
Can be cleaned and used again
High air flow with exceptional filtration
Lasts up to 50,000 miles before cleaning is required depending on driving conditions
Works with original equipment manufacturer vehicle electronics
Emissions legal in all 50 US states
Will NOT void vehicle warranty
Million Mile Limited Warranty®",No notes available,In Stock,TRCTuning
Rear Under Bumper Cover Set Flaps Toyota GT86 V2 (Black Highgloss),99.95,,"Rear Under Bumper Cover Set Flaps Toyota GT86 V2 (Black Highgloss)   


Rear Under Bumper Cover Set Flaps for mounting at the serial side under bumper, made in ABS.  

Fitting on Toyota GT86.

Surface Finish: Black Highgloss.




 



	This part is available in different surfaces:



Black Molet
Black-Highgloss
or Carbon-Look




	Black Molet surface is optimized for painting in your vehicles color.

	All other surfaces are ready for mounting and can be installed without any preliminary works.",No notes available,In Stock,TRCTuning
